name,free_returns,items_sold,item_price,item_shipping,item_status
Shop on eBay,False,,2000,,Brand New
NEW BIOEYES X3 COL.226 BLACK EYEGLASSES AUTHENTIC FRAME RX !,True,,6500,0,New without tags
Half Rimless Titanium Eyeglass Frames Men Spectacles Glasses Frames Eyewear New,True,74,2845,0,Brand New
TERAISE Anti- UV Reading Glasses 4 Pairs Blue Light Blocking Reader Womens Mens,True,,17391999,0,Brand New
Mens Womens Reading Glasses 4 Pairs Unisex Classic Retro Style Readers All Power,True,,1095,0,Brand New
4 PK Mens Rectangular Rimless Blue Light Blocking Reading Glasses Unisex Readers,True,,999,0,Brand New
4 Pack Reading Glasses Readers Men Women Square Frame Spring Hinge,True,,1295,0,Brand New
4 Pair Rectangular Spring Hinge Power Reading Reader Glasses For Mens Womens 1-3,True,711,1249,0,Brand New
Reading Glasses Mens Womens 4 Pack Metal Frame Readers Eyeglasses Spring Hinge,True,,1095,0,Brand New
Reading glasses men women black 4 pair pack power lens new mix frame shape ,True,,795,0,Brand New
4 Pack Men Classic Style Square Metal Frame Reading Glasses Spring Hinge Readers,True,,1499,0,Brand New
4 Pairs Mens Womens Oval Round Fashion Retro Power Reading Reader Glasses 1-3,True,589,1249,0,Brand New
2 PK Unisex Blue Light Blocking Reading Glasses Computer Readers for Men Women,True,,995,0,Brand New
READING GLASSES MENS WOMENS READERS UNISEX 12 PACK WHOLESALE BULK LOT NEW ,True,,1995,0,Brand New
READING GLASSES 8 PACK METAL LOT CLASSIC READER UNISEX MEN WOMEN STYLE BULK LOT ,True,,1495,0,Brand New
Mens Womens Reading Glasses 8 PACK Square Frame Readers Unisex Style Specs NEW ,True,,1495,0,Brand New
Mens Womens Reading Glasses 6 Pairs Square Frame Readers Unisex Style Specs NEW ,True,,1395,0,Brand New
Reading Glasses Mens Womens Unisex Readers Eyeglasses 4 Pack Glasses New Square ,True,,889,0,Brand New
TERAISE Anti-UV Reading Glasses 4 Pairs Blue Light Blocking Reader Women Men ,True,145,19992299,0,Brand New
9 PK Mens Rectangular Rimless Blue Light Blocking Reading Glasses Unisex Readers,True,,1399,0,Brand New
Classic Rimless Compact Reading Glasses Readers Travel Slim Design with Case,True,,899,0,Brand New
Reading Glasses Men Classic Half Rimmed Sporty Look Reader Quality Rectangular,True,,8952695,0,Brand New
4 Pairs Mens Womens Unisex Spring Hinge Rectangular Reading Reader Glasses 1-3,True,338,1299,0,Brand New
Dial Adjustable Glasses Variable Focus For Reading Distance Vision Eyeglasses US,True,4685,1463,0,Brand New
Reading Glasses Blue Light Block Readers 3 Pack Mens Womens Eyewear Computer Pro,False,,1095,0,Brand New
"2 Pairs Oversized Glasses Blue Light Blocking, UV Glare Computer Readers Reading",False,59,1395,0,Brand New
Reading glasses extra large frame lens xl 4 pair pack men black new spring hinge,True,,1195,0,Brand New
4 Pack Mens Half Frame Blue Light Blocking Reading Glasses Spring Hinge Readers,False,24,970,0,New without tags
Vision Focus Adjustable Reading Glasses Myopia Eye Glasses Variable Lens Magnify,True,,789,0,Brand New
4 Pairs Mens Womens Oval Round Fashion Retro Power Reading Reader Glasses 1-4,True,,1199,0,Brand New
Hanging Folding Magnetic Reading Eyeglasses Glasses Front Click Connect Neck NEW,False,83,599799,0,Brand New
Reading Glasses Mens Womens Readers 6 PACK Square Frame Unisex Style Specs NEW,True,,1195,0,Brand New
4Pairs Anti-Blue Light Reading Glasses HD Lenses Spring Hinge Readers Unisex,True,149,17992199,0,Brand New
Compact Reading Glasses with Aluminum Tube Case Men Women Spring Hinge Reader,False,,795,0,Brand New
One Power Auto Focus Presbyopi Reading Glasses Readers Adjustable 0.5-2.5 Unisex,True,285,899,0,Brand New
Reading glasses large lens spring hinge men women retro vintage power new,True,,649,0,Brand New
Ultra Thin Reading Glasses Nose Clip Optics Presbyopic  +1.0 +1.5 +2.0 +2.5 +3.0,True,,1098,0,Brand New
Dial Adjustable Glasses Variable Focus Distance Vision Reading Eyeglasses,False,,733,0,Brand New
4 Pack Reading Glasses Readers Men Women Semi Rimless Square Frame,True,,1095,0,Brand New
4 Pair Reading Glasses Men Women Unisex with Spring Hinge Metal Pack Readers New,True,,1295,0,Brand New
Reading Glasses Mens Womens Readers 6 Pack Square Style Specs Eyeglasses Unisex ,False,,1195,0,Brand New
Aviator Reading Glasses Classic Square Retro Metal Frame Spring Hinge Reader,True,,8951995,0,Brand New
XL Extra Large Reading Glasses - Wide Fitment - High Power From 1.00 to 6.00,False,,895995,0,Brand New
4 Pack Reading Glasses Cateye Clear Lens Spring Hinge Readers for Women,True,,1295,0,Brand New
4x New Mens Full Frame Blue Light Blocking Reading Glasses Spring Hinge Readers,False,,8951050,0,Brand New
"DOUBLETAKE Metal Compact Folding Reading Glasses with Carrying Case, 2 pair",False,758,1349,0,Brand New
Men Women Square Frame Reading Glasses Spring Hinges Temples Rubberized Touch,True,171,945,0,Brand New
Reading Glasses Mens Womens Readers 2 PACK Square Frame Unisex Style Specs NEW,False,,695,0,Brand New
One Power Readers Adjustable Auto Focus Presbyopi Reading Glasses 0.5-2.5 Unisex,False,94,899,0,Brand New
Classic clear frame reading glasses - simple unisex readers,False,,8951395,0,Brand New
Reading glasses men women rimless spring hinge 4 pair lens power lot pack new,True,,1095,0,Brand New
2 Pairs Reading Glasses Sapphire High Hardness Anti-blue Far And Near Dual-use,False,,573595,0,New without tags
Reading men women glasses spring hinge 4 pair metal frame lens  pack power lot,True,,1095,0,Brand New
1 PK Mens Rectangular Blue Light Blocking Reading Glasses Spring Hinge Readers,True,,799,0,Brand New
2 Pairs Metal Compact Folding Anti-Blue Light Reading Glasses With Carrying Case,True,,7911046,0,Brand New
2 Pack Reading Glasses Readers Men Women Semi Rimless Square Frame +1.0 - +3.0,False,0,859,0,Brand New
2 Pair Mens Unisex Blue Light Blocking Reading Glasses  Anti Blue Light Readers,True,,899,0,Brand New
High Hardness Anti-Blue Progressive Far And Near Dual-Use Reading Glasses USA,False,,699,0,Brand New
Reading Glasses Mens Womens Unisex Readers 4 PACK Square Frame New Style Quality,True,,895,0,Brand New
"2 Pairs Glasses Blue Light Blocking, UV Ray Glare Computer Readers Reading Bold",False,184,1395,0,Brand New
Palazzo BIFOCAL READING glasses UV SANITIZED SPRING HINGES Matte frame +100~+400,True,,14991599,0,Brand New
Retro Vintage Clear Lens Gold Wood Frame Fashion Eye Glasses Designer Mens Women,True,5540,995,0,Brand New
4Pair Reading Glasses Rectangular Business Metal Reader +1.0 1.5 2.0 2.5 3.0 3.5,True,,1192,0,Brand New
Men Ultra Light Titanium Material Screwless Foldable Anti-Blue Reading Glasses,False,,502,73,Brand New
Reading glasses spring hinge men women 4 pair lot pack frame lens power unisex +,True,,10951195,0,Brand New
Pyramex Emerge Plus BiFocal Reading Safety Glasses FULL Readers Clear Lens 1 PR,True,,989,0,Brand New
3 Pack High Power Extra Strength Reading Glasses Reader Women 4.0 4.5 5.0 6.0,False,266,12991899,0,Brand New
Classic Bifocal Reading Glasses Retro Men Women Plastic Frame Quality Reader,True,,8951795,0,Brand New
Classic Blue Light Blocking Computer Reading Glasses Unisex Readers Gaming,True,224,849,0,Brand New
Glasses Quality Reading Stylish Spring Readers Fashion Simple Women/Men Hinge ,False,,750,0,Brand New
4 PK Mens Half Frame Spring Hinge Reading Glasses Blue Light Blocking Readers,True,,1299,0,Brand New
4 PK Mens Rectangular Blue Light Blocking Reading Glasses Spring Hinge Readers,True,,1469,0,Brand New
