name,free_returns,items_sold,item_price,item_shipping,item_status
Shop on eBay,False,,2000,,Brand New
"Extra Large Duffle Bag Lightweight, 72L Travel Duffle Bag Foldable for Men Women",True,,26982699,0,New (Other)
WHITEDUCK Hoplite Duffle Bag - All purpose Tactical Canvas Duffel Waterproof Bag,True,,29993599,0,Brand New
"Elastic Luggage Suitcase Protector Cover Suitcase Anti Dust Scratch 18""-28”",True,,788998,0,Brand New
60 L Large Canvas Duffle Bag Travel Luggage Sports Gym Tote Waterproof Men Women,True,46,20952695,0,Brand New
Rimowa Original Trunk Large Aluminum Multiwheel Luggage 92575004 $2125,False,,134500,0,Pre-Owned
Vera Bradley NWT  Large Duffle Travel Bag Canyon,False,,5500,1000,Brand New
Large Travel Garment Bag Suit Cover Dress Storage Foldable Carrier Bag w/ Handle,False,,789,0,Brand New
Extra Large Duffel Bag 32.5 inch Lightweight Luggage for Travel,False,,1999,0,Brand New
"$1750 New RIMOWA Original Aluminum Silver Suitcase Luggage Large Check in 31""",True,,150000,0,New (Other)
New ListingFilson Rugged Twill Large Wheeled Rolling Duffle Bag - Otter Green,False,,42500,3523,Pre-Owned
Men Women Large Duffle Bag Travel Luggage GYM Sport Handbag Waterproof 72L Tote,True,106,23892489,0,Brand New
"28"" Inch Large Rollin Duffle Bag Adjustable Suitcase Luggage Gray Trolley NEW",False,,3850,0,Brand New
Wrangler Wesley Rolling Duffel Bag Charcoal Grey Large 30 Inch,False,0,5895,0,New (Other)
"Travel Suitcase 24""Large Capacity Lightweight Hard Sided Luggage 360ºQuiet Wheel",False,0,5698,0,Brand New
"$450 New Tommy Hilfiger Elmwood Luggage 31"" Hardcase Suitcase Large Check In",True,0,16900,0,Brand New
36/42 inch Canvas Duffel Bag 100L/150L Extra Large Luggage Duffle,False,,2595,0,Brand New
New ListingLL Bean Adventure Large Duffle Bag Luggage Purple White Floral Hawaiian ,False,,5000,1265,Pre-Owned
SWISSGEAR Checklite Softside Large Checked Suitcase,True,,11999,0,Brand New
32-inch Jumbo Upright Luggage Softside Luggage with Spinner Wheels Large BLACK,False,0,9500,0,Brand New
AWAY The LIGHTWEIGHT LARGE SUITCASE LUGGAGE  PETAL/BLUSH  /D10/12,False,0,24999,2999,New (Other)
Wesley Rolling Duffel Bag Black Large 30-Inch USA,False,0,5235,0,Brand New
Mulholland Brothers Longhorn Duffle Bag Large 20” Read,False,,9400,2474,Pre-Owned
DUFFLE BAG Sequins Travel NEW large Victoria Secret pink ,False,,1999,999,Brand New
"it luggage 30"" GT Lite Ultra Lightweight Softside Large Checked Luggage, Pink",False,,62008200,0,Brand New
NWT 🌸TUMI  ￼￼ Large TRip Packing Case,False,0,56900,12506,New (Other)
Large Expandable Spinner Calpak Suitcase..used only once. Excellent condition! ,False,0,6000,,Pre-Owned
Wrangler Wesley Rolling Duffel Bag Navy Blue Large 30-Inch,False,0,4955,0,Brand New
Large Travel Garment Bag Suit Cover Dress Storage Foldable Carrier Bag w/ Handle,False,101,780,0,Brand New
Samsonite Lift 2 Large Spinner - Luggage,False,0,13999,0,Brand New
"Large 32"" Luggage Rolling 360 Spinner Upright Luggage Expandable Travel Suitcase",False,0,8700,0,New (Other)
Samsonite Centric Hardside Expandable Luggage w Wheels Teal Large 28 Inch,True,0,9899,0,Pre-Owned
"Large  30"" Rolling Wheeled Duffel Bag Luggage 5791 Wheels Duffelbag Suitcase New",False,,3988,1577,Brand New
"New ListingNWT! Liebeskind Fuji Nappa Leather Satchel/Shoulder Bag, Midnight Blue FREE S&H!",False,,21400,0,Brand New
"BÉIS 29"" Large Check-In Roller Hard Shell Suitcase Luggage in Beige",False,0,17800,4995,Pre-Owned
New ListingExtra Large Duffle Bag Lightweight Travel Duffle Bag Foldable 31 x10 x 18 inches,False,,2467,0,Brand New
"SWISSGEAR 29.55"" Hardside Large Checked Suitcase - Turquoise Blue. Expandable",True,,9999,0,New (Other)
Portable Waterproof Foldable Travel Storage Luggage Bag Carry-on Duffle Baggage,True,,9481598,0,Brand New
Authentic Louis Vuitton Keepall 55 Large Duffle Bag Monogram,False,0,185000,0,New (Other)
Best Goat Leather Large vintage duffle travel gym weekend overnight bag Men's,True,0,48728613,0,New (Other)
Foldable Duffel Bag 30 inch 75L Large Lightweight Luggage for Travel,False,,1849,0,Brand New
RIMOWA Essential Check-In Large 31-Inch Black Wheeled Suitcase 9007 (Defective),False,0,74000,4000,New (Other)
Orvis Battenkill Canvas & Leather LARGE Duffel-Type Bag - Vintage 26x14,False,,8613,1356,Pre-Owned
"DALIX 25"" Extra Large Travel Vacation Overnight Duffle Bag in Black",True,,2799,0,Brand New
New ListingNEW Samsonite Acclaim BLACK In COLOR - LARGE Garment Bag Luggage Suitcase,True,,14999,2498,Brand New
"New ListingEagle Creek No Matter What Rolling Duffel Bag Large 30x15x14"" 105L Black Wheels ",False,,7200,2329,Brand New
"Baboon to the Moon Large Travel Go Bag Duffle Backpack 60L New, Black MSRP $219",False,0,14999,0,Brand New
Coach 5962 Large Black Duffle / Travel Bag,False,,17500,1200,Pre-Owned
LL Bean Duffle (Duffel) Bag -- Large Size -- New,False,,6499,1000,New (Other)
"New ListingSAMSONITE Lite Air ADV 30"" Large Expandable Check In Spinner New In Slate Gray",False,,25000,4500,Brand New
West Marine K1 Large Travel Bag,False,,795,860,Pre-Owned
"TUMI Alpha Large 30"" Split 2 Wheeled Duffel Bag Black MSRP $995 EUC",True,,35000,2186,Pre-Owned
Wilson leather Large Soft Leather Bag,False,,2950,1750,Pre-Owned
New ListingPatagonia Black Hole Duffel 90L Blue Large Luggage Travel Backpack Bag 49346,False,,9000,1200,Pre-Owned
"New Listing$1125 RIMOWA Black Travel Luggage TSA 31"" Spinner Hard Large Check-in Suitcase",False,,89900,5000,Pre-Owned
Beis Large Check In Luggage 29 Inch Suitcase,False,,23500,17457,Pre-Owned
Louis Vuitton Alzer 80 Large Monogram Suitcase Trunk Luggage With Tray,False,,350000,9363,Pre-Owned
Vera Bradley English Rose Large Travel Duffel Bag,False,,3500,0,Pre-Owned
Pierre Cardin Large Nylon Duffle Bag New without tags,False,,3995,839,New (Other)
Nike Duffle Travel Bag Black Large,True,,4983,2500,Pre-Owned
